episode,return,epsilon,loss,mean_affinity
0,-167.7812520688322,1.0,0.0,0.0
1,-212.0311803298959,0.9275689688183278,5.72921199798584,1.0557757377624513
2,-318.16455026210633,0.5082950737585841,6.4350642720858255,1.2252832671006522
3,-559.669072818702,0.2649210072611673,11.567057242760292,1.2876307423298174
4,-521.8825569621168,0.17214774642209296,11.997380034868108,1.3494644844254782
5,-228.99978156287276,0.07196434741762824,12.325176362333627,1.3434082742395073
6,-342.2793898879313,0.05,9.850969752040479,1.373772297430476
7,-192.58582564876286,0.05,8.952393515771176,1.3645771601620842
8,-189.57002110774084,0.05,8.399746864400012,1.335068276587953
9,-45.85971969360155,0.05,7.485719129957002,1.2946016870695969
10,-44.92111859239543,0.05,7.978078369266731,1.2559910746645335
11,-244.99341524022503,0.05,7.64598086275206,1.240158609086019
12,-318.1278957268779,0.05,8.203800510352766,1.222527154734437
13,-219.23446402413225,0.05,9.4864101025366,1.218123080653529
14,-309.6856493504798,0.05,10.830885475332087,1.199915269246468
15,-353.05707123903915,0.05,12.189174333601507,1.2463708278787045
16,-335.2555528839295,0.05,22.082687571219036,1.273114814077105
17,-236.52988757575,0.05,38.94239427190308,1.3130393553217616
18,-261.07075491712,0.05,56.11163208825248,1.3635484618800027
19,-121.85204174406161,0.05,58.137592846384415,1.3990104869008064
20,-237.56339585489386,0.05,61.053038006358676,1.4139208436012267
21,-169.39268905716997,0.05,68.49473740780248,1.4547635615751104
22,-56.613305976492,0.05,94.64768538634743,1.5144203011499067
23,-148.48886155907266,0.05,99.6057669134701,1.539115169469048
24,-129.8140516353156,0.05,124.01153824520111,1.6101301651000977
25,-123.28447089768731,0.05,155.76467508929116,1.6648480945399828
26,-121.00604961123406,0.05,133.68892093966988,1.670746460556984
27,-61.44625383272898,0.05,151.67193020091338,1.6802820465143988
28,-465.2557604018297,0.05,139.045143698598,1.6724756445203508
29,-141.08316519980326,0.05,138.2376454689286,1.693730154498057
30,-113.32148994677169,0.05,161.5310129337311,1.7118297820091248
31,-210.15214726635185,0.05,177.0452391775392,1.7282077494285089
32,-132.50719344826462,0.05,185.14834992798717,1.736674864765121
33,-113.04746276172843,0.05,164.01442719191957,1.7316573978328018
34,-146.03213699051292,0.05,215.24290908941532,1.7288292086166543
35,-162.57900372051319,0.05,224.8245007946806,1.7419347324461307
36,-162.2440914776752,0.05,203.72098006316222,1.7522535473922562
37,-76.70423538426073,0.05,230.7060948494153,1.7691110036312006
38,-191.83717892441587,0.05,197.8887967624425,1.767546961995847
39,85.71818374597726,0.05,261.2507531360576,1.777145516192704
40,-144.12773406791837,0.05,278.7805905681186,1.799931280348036
41,-125.7639682202116,0.05,284.47836438189734,1.7995129399531788
42,-122.87074045543,0.05,317.3968496196038,1.7918697057572086
43,-89.03724788207101,0.05,302.7636220042266,1.8003340653201054
44,-126.70749163746596,0.05,276.42198082561225,1.7994666693915784
45,-53.90100256226175,0.05,278.61300715303423,1.7942667590379715
46,-114.61456939958255,0.05,257.8705336318393,1.8051749754607473
47,-155.5671477899353,0.05,262.2765888900757,1.7973357957204183
48,-124.63703599155836,0.05,235.77733363403132,1.798572483786776
49,-82.8939032138375,0.05,209.7704175100094,1.7938837866957595
50,119.58895113398995,0.05,210.31145553423627,1.7966376703859557
51,48.39458047114495,0.05,170.46913946914674,1.7990352498292923
52,-169.23956414901423,0.05,132.0962201352763,1.7976026584532847
53,120.24107689825998,0.05,115.44474156786512,1.7976932735709876
54,-317.73707534341946,0.05,90.23344303877595,1.7990090526751619
55,-65.78957100487216,0.05,77.0223315035502,1.7982395006815592
56,152.09222213508235,0.05,70.51296323287387,1.8121384244506098
57,-93.26082195858544,0.05,68.02685401645408,1.8211180998387473
58,-47.40824639489101,0.05,70.49532776019153,1.8291178821933036
59,-274.70041730666,0.05,63.77279158811001,1.8373403275723088
60,93.55190900995271,0.05,56.52135898699377,1.8333629072119073
61,-101.272967713689,0.05,61.2192599978668,1.8395014243410124
62,135.6386972951907,0.05,58.119145151332766,1.8337648196747918
63,94.7391232189721,0.05,60.06390032774719,1.8411356314228218
64,-20.1730390437059,0.05,56.59897405003745,1.8371733320610864
65,128.97640812983596,0.05,54.4065692075008,1.833888688286413
66,145.61882718746236,0.05,52.20142811419917,1.83405699071841
67,-70.54476462947775,0.05,51.6133388710022,1.8288768243789673
68,-105.72293425211171,0.05,52.72020769876147,1.8325123540938846
69,-31.821343160970372,0.05,50.849064466012905,1.836456782314407
70,-135.1643000613771,0.05,49.977850817498705,1.8336084658900897
71,-119.8396219962001,0.05,54.386966485688184,1.8337521336295388
72,-255.34653593384368,0.05,61.14442453553191,1.8348494873637646
73,-136.37338125397082,0.05,60.809408861719916,1.8303901513893448
74,-131.72065178924322,0.05,62.92376354762486,1.8322627156499833
75,-146.12764698984552,0.05,64.28028334481375,1.8363608169555663
76,-121.44769442191972,0.05,67.61572697080415,1.8316038024836574
77,-177.854096576737,0.05,63.09622310225372,1.8349402171031686
78,-111.32971116842947,0.05,54.87933086048473,1.8276388070800087
79,-182.38058971325728,0.05,59.06782061426263,1.8288431180150886
80,-173.6474442884833,0.05,59.23650519053141,1.8342087206591564
81,-139.67149328122463,0.05,54.645143278183475,1.8400054352898751
82,-177.68001400131305,0.05,56.289233184722534,1.830557859805693
83,-197.3422503078312,0.05,53.14614323329498,1.8273785290696696
84,-165.3656671753211,0.05,54.124902897496376,1.824979043006897
85,-212.5566620804062,0.05,54.013291961559354,1.8331089652102925
86,-174.97939294447164,0.05,58.520644305045145,1.8315612987468117
87,-188.88701266739696,0.05,56.43499097824097,1.8329262305708494
88,-146.0633395694419,0.05,55.997392685686954,1.8336659142228424
89,-222.88533027743716,0.05,54.810583796552436,1.829256014157367
90,-156.04663042253617,0.05,54.873326385498046,1.8262333106994628
91,-218.2468891401993,0.05,58.496321556415964,1.8291282577717558
92,-250.8602696079513,0.05,58.1538305773166,1.8266955157856883
93,-85.13688671739334,0.05,64.44357935887463,1.8213498176268812
94,-216.9173081538554,0.05,208.38891535237002,1.8190260934241025
95,-296.2654431370852,0.05,195.20424344431112,1.8138688587407183
96,-132.1526532086129,0.05,181.59620789119177,1.8089833198761454
97,-221.59948757569836,0.05,235.3015268445015,1.80661657700936
98,-282.4763026264873,0.05,210.11202279673327,1.815709280487675
99,-190.44463003605318,0.05,214.60884715037741,1.826856054318179
100,-180.829396475749,0.05,252.35697816892434,1.8217073592520852
101,-197.67401467366506,0.05,195.43315992429274,1.8226348586784777
102,-173.23582229736041,0.05,246.07405477552558,1.8316275300692075
103,-149.27591067795115,0.05,265.3929448371386,1.830135659579813
104,-290.8359409413613,0.05,239.836279528958,1.8331823023882778
105,-182.2397715387351,0.05,239.89114174944288,1.8388138438792938
106,-217.4975514751861,0.05,197.620617165285,1.8337220935260548
107,-186.36499580684156,0.05,229.63213807138902,1.8283684315352604
108,-304.45803974716125,0.05,217.14828385247125,1.8379498322804768
109,-189.69195078811555,0.05,303.1390786307199,1.8320198445093063
110,-305.8742910645999,0.05,207.8287919979651,1.845131245631616
111,-121.37792947035976,0.05,243.95389161181095,1.8485074292367965
112,-253.13547028718548,0.05,241.18544092104418,1.851800120616144
113,-226.24740045494514,0.05,223.05286730173472,1.853465005513784
114,-265.3460552507076,0.05,240.2288569756274,1.8550750790901904
115,-117.06357988200298,0.05,235.82379226026865,1.847076689374858
116,-217.26457085617392,0.05,275.94233041846235,1.8563594258349874
117,-164.23074398098095,0.05,243.3774365350312,1.855347314301659
118,-152.7469070856184,0.05,217.10719665702507,1.8454371280207926
119,-149.59511754653644,0.05,209.34431429923848,1.8495951713399683
120,-85.57640617636049,0.05,187.94222804478235,1.8543637580230456
121,244.5278296584213,0.05,227.1351616665778,1.8543152991839296
122,-132.40809233310785,0.05,234.37137156761497,1.868558022142188
123,-154.8537717627053,0.05,226.90419041999033,1.8651729109131288
124,-279.51596640073944,0.05,210.2807335246693,1.8765143010523413
125,-120.1886753676275,0.05,170.62909550893875,1.8816146545466923
126,-123.6449302448872,0.05,191.43385869806463,1.8825889518766692
127,237.99557907131634,0.05,154.3244348518279,1.8742387656740813
128,-137.66962400517542,0.05,161.28359113994398,1.8702301150874088
129,-196.85816585483178,0.05,148.43943261447018,1.8663446560297927
130,37.38192494806964,0.05,135.76455063003678,1.8755678035117485
131,-186.67352629470423,0.05,140.26223602793576,1.8766147918950498
132,-170.40042471727696,0.05,138.91129668135392,1.8823371639377193
133,-128.1699285564458,0.05,130.54882734066973,1.8825982653092002
134,-147.21455211180603,0.05,134.9783585357666,1.8833453512191773
135,-116.34359091546276,0.05,133.2095729158125,1.8811625633530944
136,-299.45403234512173,0.05,128.0054881739062,1.874883428882401
137,-191.7291660225527,0.05,132.029167405257,1.8739340922511216
138,-189.37731074901268,0.05,143.40385216726384,1.8703907870910537
139,-123.09559812551024,0.05,132.71356362356266,1.8662580965270459
140,-104.85514743567275,0.05,140.5431445086444,1.8656226407598566
141,-198.2009404565165,0.05,134.3898250813387,1.8692070270071224
142,-236.60821947895855,0.05,146.79478964415736,1.8746350066466901
143,-347.75611019252807,0.05,148.257081251878,1.8664692675573586
144,-291.5768661047796,0.05,141.7924405705859,1.8626042953011586
145,-58.1966826273577,0.05,142.49392280578613,1.8718079778883192
146,-59.4315297809504,0.05,144.6616954336633,1.86333983886492
147,-47.72164749083948,0.05,136.77712731170655,1.871952435016632
148,74.01214680036404,0.05,117.44391440582275,1.872843389749527
149,239.50117895140775,0.05,121.51606362931271,1.8736959713570616
150,-120.97537283217937,0.05,123.03721933980142,1.8835086111099488
151,-42.454802182643405,0.05,125.58900071470529,1.8911493608615542
152,-126.12574468368335,0.05,125.80477142333984,1.8947869697395636
153,-65.21571725561535,0.05,144.355847286577,1.8893016279578543
154,-107.9787854901038,0.05,132.90364641462054,1.8746999791690282
155,-284.9000789640261,0.05,141.98123259463551,1.8800781409619218
156,-225.26351379938362,0.05,136.90793191685395,1.887031162486357
157,-69.48904507964653,0.05,161.17740708209098,1.888219381900544
158,-535.8610475562257,0.05,175.2798843721373,1.888158645250101
159,-231.83939857237482,0.05,171.37318437440055,1.89081644905465
160,-35.42202944270926,0.05,162.38122376441956,1.8843243288993836
161,-252.31298579471817,0.05,158.40788091023762,1.893839481472969
162,-291.99382647981145,0.05,154.93173210961479,1.8945253118872643
163,-229.97865136070587,0.05,169.90996407073678,1.89186407408668
164,-85.15192522321321,0.05,171.6088516100318,1.890215125759091
