episode,return,epsilon,loss,mean_affinity
0,-216.56435201028586,1.0,0.0,0.0
1,-244.65521669093593,1.0,0.0,0.0
2,-320.01592911691085,1.0,0.0,0.0
3,-257.15419473217804,1.0,0.0,0.0
4,-302.53386426662905,0.7552531090661897,9.663986836160932,0.8069630488753319
5,-15.16295171641164,0.42013897252428334,8.381111418080126,1.183422565460205
6,-190.9430695674049,0.30483872516307353,8.712683603167534,1.2622632961720228
7,-377.28672918309076,0.19513012515638165,7.832287022237027,1.29735950137792
8,-674.603263927118,0.13001512070402377,8.783705993934914,1.292066944970025
9,-421.76969889695295,0.058595424120670696,8.764245024267233,1.2897615657662445
10,-198.3512304008736,0.05,8.062272867309712,1.2692449950726232
11,-96.10392377024462,0.05,6.387755188890683,1.2544291327076573
12,-241.67192832383034,0.05,7.192110136373719,1.230360523978276
13,-146.05067775504313,0.05,6.555521843910217,1.1807393482327462
14,-147.3190660034541,0.05,7.6020683777332305,1.3637573537826537
15,13.517913591559662,0.05,8.426935677002334,1.4440108851605886
16,-32.27522289357721,0.05,8.95007268624885,1.4516345786157054
17,-288.34316740614895,0.05,11.272791235890221,1.4988806353142514
18,-176.98067912986295,0.05,12.148964062690736,1.5061779251098633
19,-167.648927833388,0.05,12.111732562383017,1.5068256558386932
20,-250.54103226398948,0.05,14.441959443529681,1.5147693546918721
21,-51.37707007869868,0.05,16.943315308853233,1.5080614036687925
22,-12.8742416616316,0.05,16.095334616776938,1.5228534218306853
23,-289.8881460058308,0.05,20.31400827261118,1.5259387694872342
24,-92.99371924527387,0.05,20.370372954738198,1.5341639609998494
25,-51.253924015985916,0.05,20.546132318901293,1.534047589157567
26,-97.95355296495373,0.05,22.633252033016138,1.5446714962783612
27,-355.00537634967344,0.05,22.719687718197815,1.5501665513318283
28,86.05625116617087,0.05,30.029362451250307,1.5745121738780166
29,-396.32976477963786,0.05,36.59072571239252,1.6264593758802304
30,-238.52890512886034,0.05,37.40458007726801,1.639877484004069
31,-66.77639327719855,0.05,44.741976176567796,1.638491361995913
32,-195.98588950850015,0.05,42.99230026386001,1.658357402140444
33,-252.49259106172022,0.05,42.14194307554654,1.659545108780453
34,108.1514392388756,0.05,43.876316779748834,1.6610788253656117
35,-81.20515880458241,0.05,43.430500099103746,1.6771536779730287
36,-147.93747050954738,0.05,45.154492123126985,1.6751055108308792
37,-200.94923610078078,0.05,48.57944897856645,1.6643727767728318
38,-142.2722710966491,0.05,51.47924364233017,1.6744684520959854
39,-189.44283092026478,0.05,57.22959979285657,1.6873298922055204
40,-63.782445607049794,0.05,63.39570397758484,1.6861784125566484
41,-59.836014129948765,0.05,77.65527403593063,1.6854822963476181
42,124.02773494797611,0.05,89.13260637350001,1.6886261980664932
43,-131.63574983699718,0.05,100.27891048356598,1.6838437959259631
44,-81.52768461889445,0.05,86.72935599644978,1.6829972908231947
45,-66.75668473579381,0.05,134.2377012228966,1.6864617021083832
46,-112.05345461282583,0.05,145.23500541830063,1.6739819564819336
47,-153.68968668026474,0.05,158.1825081893376,1.647862491437367
48,-65.60389041352389,0.05,179.71090822458268,1.6577826644182205
49,-125.55661182812958,0.05,174.3354304160601,1.6479238919269892
50,-98.05892128084739,0.05,264.25506733981047,1.639397185499018
51,-314.1178475957555,0.05,224.11862218411264,1.6382145609442644
52,-112.1975615214785,0.05,198.24915563649145,1.6427507976005817
53,-117.35886660270386,0.05,180.41759696839347,1.6420960085732597
54,-225.37254066660276,0.05,197.34172499974568,1.6457368989785512
55,-90.96263048773368,0.05,178.22917785797733,1.6493454238018357
56,-286.1445644155148,0.05,182.95342049105415,1.6490091393733848
57,-113.08678661160523,0.05,152.24304385924003,1.6515274350072298
58,-135.20125623600194,0.05,180.08490389364738,1.6518729704397697
59,-145.82265271450376,0.05,172.81449501037596,1.6511150741577147
60,-118.26406846239611,0.05,230.12610787250958,1.6333452228639946
61,-126.63192384569979,0.05,210.79779130762273,1.655019380829551
